p.value	UP/DOWN	correlation	FDRp.value	path	path.name
hsa04014__42	0.134312592762952	DOWN	-0.240882177803146	0.134312592762952	Ras signaling pathway: PLA2G4B	Ras signaling pathway: PLA2G4B
hsa04014__43	0.0931260804030786	DOWN	-0.269104761634617	0.0931260804030786	Ras signaling pathway: ELK1	Ras signaling pathway: ELK1
hsa04014__44	0.0484243954548373	DOWN	-0.314070253555077	0.0484243954548373	Ras signaling pathway: ETS1	Ras signaling pathway: ETS1
hsa04014__33	0.708114331379941	DOWN	-0.0610776775915039	0.708114331379941	Ras signaling pathway: BCL2L1	Ras signaling pathway: BCL2L1
hsa04014__35	0.00241457765087629	DOWN	-0.466449410455101	0.00241457765087629	Ras signaling pathway: NFKB1	Ras signaling pathway: NFKB1
hsa04014__37	0.931955644952109	DOWN	-0.0139419464379947	0.931955644952109	Ras signaling pathway: FASLG	Ras signaling pathway: FASLG
hsa04014__97	0.273968970081217	DOWN	-0.177217532389171	0.273968970081217	Ras signaling pathway: PAK4	Ras signaling pathway: PAK4
hsa04014__54	0.0942852529758703	DOWN	-0.268191163279946	0.0942852529758703	Ras signaling pathway: RHOA	Ras signaling pathway: RHOA
hsa04014__38	0.0625235512362518	DOWN	-0.297227661455197	0.0625235512362518	Ras signaling pathway: MAPK8	Ras signaling pathway: MAPK8
hsa04014__41	0.0323224404244541	DOWN	-0.339081646592048	0.0323224404244541	Ras signaling pathway: RAC1	Ras signaling pathway: RAC1*
hsa04014__100	0.323804584212871	DOWN	-0.16007312205697	0.323804584212871	Ras signaling pathway: REL	Ras signaling pathway: REL
hsa04014__24	0.0142461520513189	DOWN	-0.384691494558826	0.0142461520513189	Ras signaling pathway: PLD1	Ras signaling pathway: PLD1
hsa04014__26	0.0151221619853886	DOWN	-0.381569152368561	0.0151221619853886	Ras signaling pathway: PRKCA	Ras signaling pathway: PRKCA
hsa04014__30	0.0144575462600352	DOWN	-0.383923461518681	0.0144575462600352	Ras signaling pathway: C01245	Ras signaling pathway: C01245
hsa04014__27	0.00187852471112762	DOWN	-0.476566780189673	0.00187852471112762	Ras signaling pathway: ABL1	Ras signaling pathway: ABL1
hsa04014__45	0.00917221391616191	DOWN	-0.406883129706737	0.00917221391616191	Ras signaling pathway: RAB5A	Ras signaling pathway: RAB5A
hsa04014__61	0.248536339431381	DOWN	-0.186760871960312	0.248536339431381	Ras signaling pathway: RAP1A	Ras signaling pathway: RAP1A
