TCGA.BH.A1FM.11B.23R.A13Q.07	TCGA.E2.A1LB.11A.22R.A144.07	TCGA.BH.A208.11A.51R.A157.07	TCGA.BH.A18K.11A.13R.A12D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E9.A1NG.11A.52R.A14M.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A18J.11A.31R.A12D.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.BH.A18S.11A.43R.A12D.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.BH.A0HA.11A.31R.A12P.07	TCGA.BH.A18R.11A.42R.A12D.07	TCGA.E2.A158.11A.22R.A12D.07	TCGA.BH.A0BQ.11A.33R.A115.07	TCGA.BH.A0DH.11A.31R.A089.07	TCGA.BH.A1F2.11A.32R.A13Q.07	TCGA.B6.A0WY.01A.11R.A109.07	TCGA.AN.A0G0.01A.11R.A034.07	TCGA.E2.A1IL.01A.11R.A14D.07	TCGA.BH.A0HX.01A.21R.A056.07	TCGA.A7.A26G.01A.21R.A169.07	TCGA.AR.A24X.01A.11R.A169.07	TCGA.A8.A076.01A.21R.A00Z.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.A8.A09V.01A.11R.A034.07	TCGA.C8.A27B.01A.11R.A169.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.AR.A1AW.01A.21R.A12P.07	TCGA.BH.A1EX.01A.11R.A13Q.07	TCGA.D8.A1XG.01A.11R.A14D.07	TCGA.AO.A12A.01A.21R.A115.07	TCGA.AR.A0TR.01A.11R.A084.07	TCGA.A8.A07E.01A.11R.A034.07	TCGA.A2.A0CT.01A.31R.A056.07	TCGA.BH.A18U.01A.21R.A12D.07
hsa04014__42	0.0059752720098389	0.00571043261013036	0.00559080510536853	0.00578060639473047	0.00669407204705122	0.00621325514289615	0.00622231772419465	0.00599844732436859	0.00609442521906814	0.00666211658403247	0.00607516889215114	0.00725300077948268	0.0052514155128781	0.00614338584536262	0.00563500367565529	0.00575276913541252	0.00685079582964594	0.00577922369566753	0.00620287824134897	0.00592550050311708	0.00559285018040784	0.00554311434056578	0.00516554452698961	0.00560392008359668	0.00639205824433601	0.00506803227228307	0.0055380908761366	0.00624319979450003	0.0055261998274193	0.0053394417777395	0.00646141795598869	0.00539916882594306	0.00597883292005026	0.00494897869960325	0.00480023082147631	0.00562402544316377	0.00540365233159699	0.00551163728489094	0.00616609677993096	0.00621455983632958
hsa04014__43	0.00584175863350922	0.00596598791125585	0.00566973545077964	0.00560695845916291	0.00611452868463424	0.00583149690496128	0.00586293372778572	0.00588990210641726	0.00594023114562562	0.00631236211715822	0.00591940627471105	0.00649176730120289	0.00527937349983849	0.00586930308470611	0.00572138355552918	0.00564085516943376	0.00646043171306565	0.0058129724966209	0.00608360547219263	0.00594956631632037	0.00590078407318001	0.00566293663156439	0.00509674112368443	0.00595845069552596	0.00642399269531705	0.0054245363435105	0.00594430944654082	0.00646491767265589	0.00575894620574133	0.00545248785205435	0.0067572305803631	0.00599224554676468	0.00577977077383814	0.00524973551371764	0.00509834818119757	0.00593382242657039	0.00554644072510614	0.00567853241021619	0.0063615596834891	0.00625158261407332
hsa04014__44	0.00709633201057298	0.00655563121114357	0.0066067776887778	0.00646446338444197	0.00754340260603468	0.00740137595185726	0.00721124025367835	0.00710784797682522	0.00701053526378787	0.00760230530628053	0.00735052941715949	0.00837632041239221	0.0061804587091176	0.00699056798472548	0.00664241866697325	0.00663802128259942	0.00758240284151549	0.0067385540287885	0.00740459101036935	0.00709038002832163	0.00645077382820695	0.00644490008603243	0.00550173349789908	0.00652774881422079	0.00746791646534128	0.00585519334371963	0.00621899910219032	0.00685768085652101	0.00608978286280933	0.00576693015510103	0.00766396482336408	0.00607022619324346	0.00713228290905622	0.00561798620453776	0.00510933384631481	0.00654217372964147	0.00533102532170415	0.00675128638771217	0.00711048173158639	0.00671789743737227
hsa04014__33	0.294761165354974	0.278883075157234	0.300563994386292	0.288495477536962	0.278100690802127	0.285017384789446	0.29895041673748	0.292139729446014	0.282584951014272	0.286065212018384	0.298222887302455	0.271890250530256	0.293497538794127	0.282133984413732	0.291918338899691	0.293750516126269	0.276927228562684	0.3038186257488	0.273365014533925	0.289851114044489	0.285301752424864	0.28571119371557	0.28306704311	0.305171999190046	0.287814317074478	0.304760437793223	0.3273018673843	0.269470829181865	0.289594874779548	0.308498677272337	0.308659507343602	0.308459436330507	0.301904854113863	0.312077250533385	0.281549206187253	0.289313716027962	0.285081088293636	0.291475423801399	0.28481221388511	0.307010755778142
hsa04014__35	0.00616677162964775	0.00622593918744544	0.00596518898700808	0.00616297412032848	0.00638208782249098	0.0062377776226105	0.00596612675902243	0.00639117922298344	0.00620343070440201	0.00697440937127085	0.00679545310392139	0.00647685638670158	0.00561962094156007	0.006417233761392	0.00608989727296212	0.00597219485245064	0.00661116059571271	0.00609846244470571	0.00622956068439865	0.00628143038525524	0.00659783979686555	0.00597975100028229	0.0060914963177902	0.00661952780523501	0.00613561818442884	0.006221276909001	0.00689142954904396	0.0059382727713492	0.00653662490080282	0.00627693573411308	0.00703799420197735	0.00642500703555191	0.00629332038693034	0.00619601223313521	0.00554135857789731	0.00668329181008612	0.00623296667981681	0.00639307940248861	0.00604998844613211	0.00601121080055681
hsa04014__37	0.181503350734422	0.170800856144157	0.173444528813936	0.179793031859624	0.183224062914118	0.147389230294213	0.140633026601971	0.181254444868051	0.17121031510634	0.163788532412506	0.181342648184163	0.180045997032682	0.187924348498994	0.164306292921756	0.145424057635893	0.179971409992091	0.127808668029073	0.148141367821441	0.194307949852641	0.174672658832786	0.168953367065032	0.154334775735069	0.157732204367256	0.133217210990208	0.170910801372045	0.165156430319044	0.146220598894117	0.168005882911806	0.150552397348835	0.130689306674916	0.182511362693507	0.158120474928792	0.225327754400935	0.175542442265004	0.1239342318685	0.188443564653418	0.152174009195389	0.175529799494487	0.141392038849308	0.160980894481929
hsa04014__97	0.0296433580836517	0.0282015451354459	0.0289813190845551	0.0278570531561136	0.0296466826986106	0.0311903175217369	0.0313796183588739	0.0302212650746862	0.0285806276817332	0.0337985029582885	0.0330165053406354	0.0327838214648904	0.0289708431892293	0.0301129374414266	0.0289835379563521	0.027924006552123	0.0309123786484173	0.0307648909524646	0.0314980396069774	0.0288438700671943	0.0345654716178828	0.0336643972380276	0.0275872453128829	0.0303462555222924	0.0363697456242367	0.0307306919975114	0.0342346266558236	0.0335515208221875	0.0343172674361533	0.0341063359424844	0.0370586612247527	0.0283492257467315	0.0362251530297229	0.0308131724229467	0.0270985784041809	0.0333688278607516	0.0337194699563584	0.0327840031670747	0.0274657236744454	0.029299256344297
hsa04014__54	0.0341057860092413	0.0316197313982949	0.0327053082756397	0.0315174083599334	0.0357345503590837	0.0368963584824906	0.0360054947654788	0.0349769221645305	0.0334188254401666	0.0405690181399816	0.0382289069164029	0.0390456141798416	0.032499970455346	0.0353867119541586	0.0328922614773119	0.0321277030163891	0.0371566503757157	0.0348011549848286	0.0377521831627126	0.033574729898598	0.0379755439485326	0.0338538884771582	0.0294282665840538	0.0340995620028933	0.0393171583911776	0.0353290499015813	0.0389955847623253	0.035666451962972	0.0380962716164471	0.0368065392676841	0.0407525005402033	0.0325218551951219	0.0410092061614721	0.0366857515154326	0.0302093529757976	0.0377765985612645	0.0367524648837467	0.037726794234286	0.030087907473559	0.033048573721408
hsa04014__38	0.0373787037311676	0.0361232650666882	0.0366915845110105	0.0347769913778077	0.0437264155386506	0.0409317992706466	0.0382083186975496	0.0368323417696143	0.0397137704429644	0.0428100239075454	0.039512238728537	0.0446752371911673	0.0348479211896515	0.039105049642378	0.0366925967017435	0.0369375654856271	0.0412450917962048	0.0358383194127483	0.040044250208106	0.0402166565580898	0.0357729627935663	0.0317275094741149	0.0344451447018838	0.0376366229135351	0.0401907225596545	0.0371641837439484	0.038243595266043	0.0376123650425251	0.0362787873898556	0.0381710712525846	0.0390941451682968	0.0376889929602879	0.0365335957713031	0.0370567747028153	0.0328381714642933	0.0396779755415816	0.0357330009824894	0.0389330014938702	0.0365515076004356	0.036445032492822
hsa04014__41	0.018969161997107	0.0182351031202836	0.0183603774545955	0.0174786925381289	0.0209900297326143	0.0204025502253564	0.0185999312830544	0.0187101455609028	0.0186130538698832	0.0213416001815491	0.0199029904478408	0.0220798000737493	0.0175986376883452	0.0193477502783298	0.0186802931680434	0.0185412545158616	0.0202325528418902	0.0182718673500144	0.020861205646983	0.0192091932795097	0.0182615659295369	0.0165102854350796	0.0164658060160146	0.0190659436315038	0.0210846714284081	0.0180969305864964	0.0181631363262424	0.0192205208673764	0.0174806515432051	0.0189366723737883	0.0206149583588621	0.019206460520309	0.0188708554470491	0.0185522251099448	0.0161179270286012	0.0196313831739038	0.0171645497288725	0.018787592033578	0.0179048722721736	0.0169433863030291
