path/term	UP/DOWN	correlation	p.value	FDRp.value
positive regulation of oxidoreductase activity	DOWN	-0.476566780189664	0.00187852471112805	0.00187852471112805
regulation of response to DNA damage stimulus	DOWN	-0.476566780189664	0.00187852471112805	0.00187852471112805
negative regulation of ubiquitin-protein transferase activity	DOWN	-0.476566780189664	0.00187852471112805	0.00187852471112805
signal transduction in response to DNA damage	DOWN	-0.476566780189664	0.00187852471112805	0.00187852471112805
negative regulation of protein serine/threonine kinase activity	DOWN	-0.476566780189664	0.00187852471112805	0.00187852471112805
peptidyl-tyrosine phosphorylation	DOWN	-0.476566780189664	0.00187852471112805	0.00187852471112805
synaptic vesicle recycling	DOWN	-0.406883129706733	0.00917221391616254	0.00917221391616254
regulation of filopodium assembly	DOWN	-0.406883129706733	0.00917221391616254	0.00917221391616254
endocytosis	DOWN	-0.406883129706733	0.00917221391616254	0.00917221391616254
histone H3-T6 phosphorylation	DOWN	-0.381569152368562	0.0151221619853882	0.0151221619853882
regulation of platelet aggregation	DOWN	-0.381569152368562	0.0151221619853882	0.0151221619853882
positive regulation of mismatch repair	DOWN	-0.381569152368562	0.0151221619853882	0.0151221619853882
negative regulation of protein catabolic process	DOWN	-0.381569152368562	0.0151221619853882	0.0151221619853882
negative regulation of protein ubiquitination	DOWN	-0.381569152368562	0.0151221619853882	0.0151221619853882
SMAD protein import into nucleus	UP	0.370970735672466	0.0184427417160118	0.0184427417160118
positive regulation of DNA-templated transcription, initiation	UP	0.370970735672466	0.0184427417160118	0.0184427417160118
positive regulation by host of viral transcription	UP	0.370970735672466	0.0184427417160118	0.0184427417160118
negative regulation by host of viral transcription	UP	0.370970735672466	0.0184427417160118	0.0184427417160118
negative regulation of DNA binding	UP	0.370970735672466	0.0184427417160118	0.0184427417160118
positive regulation of peptidyl-tyrosine phosphorylation	DOWN	-0.357595568194122	0.0234878063469253	0.0234878063469253
response to endoplasmic reticulum stress	DOWN	-0.352657199472533	0.0256199128540872	0.0256199128540872
phosphatidylinositol 3-kinase signaling	DOWN	-0.346079944841326	0.0287067986866165	0.0287067986866165
positive regulation of MAP kinase activity	DOWN	-0.346079944841326	0.0287067986866165	0.0287067986866165
G-protein coupled receptor signaling pathway	DOWN	-0.346079944841326	0.0287067986866165	0.0287067986866165
insulin-like growth factor receptor signaling pathway	DOWN	-0.346079944841326	0.0287067986866165	0.0287067986866165
growth hormone receptor signaling pathway	DOWN	-0.346079944841326	0.0287067986866165	0.0287067986866165
protein stabilization	DOWN	-0.346079944841326	0.0287067986866165	0.0287067986866165
positive regulation of transcription factor import into nucleus	DOWN	-0.337302645095686	0.0332989270051207	0.0332989270051207
positive regulation of GTPase activity	DOWN	-0.327406390630348	0.0391827512236977	0.0391827512236977
positive regulation of endothelial cell apoptotic process	UP	0.324191603121459	0.0412670385446865	0.0412670385446865
negative regulation of angiogenesis	UP	0.324191603121459	0.0412670385446865	0.0412670385446865
PML body organization	DOWN	-0.314070253555082	0.0484243954548334	0.0484243954548334
positive regulation of erythrocyte differentiation	DOWN	-0.314070253555082	0.0484243954548334	0.0484243954548334
negative regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	UP	0.311407928012161	0.0504644932067804	0.0504644932067804
negative regulation of dendritic cell antigen processing and presentation	UP	0.311407928012161	0.0504644932067804	0.0504644932067804
negative regulation of plasma membrane long-chain fatty acid transport	UP	0.311407928012161	0.0504644932067804	0.0504644932067804
