TCGA.BH.A1FM.11B.23R.A13Q.07	TCGA.E2.A1LB.11A.22R.A144.07	TCGA.BH.A208.11A.51R.A157.07	TCGA.BH.A18K.11A.13R.A12D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E9.A1NG.11A.52R.A14M.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A18J.11A.31R.A12D.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.BH.A18S.11A.43R.A12D.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.BH.A0HA.11A.31R.A12P.07	TCGA.BH.A18R.11A.42R.A12D.07	TCGA.E2.A158.11A.22R.A12D.07	TCGA.BH.A0BQ.11A.33R.A115.07	TCGA.BH.A0DH.11A.31R.A089.07	TCGA.BH.A1F2.11A.32R.A13Q.07	TCGA.B6.A0WY.01A.11R.A109.07	TCGA.AN.A0G0.01A.11R.A034.07	TCGA.E2.A1IL.01A.11R.A14D.07	TCGA.BH.A0HX.01A.21R.A056.07	TCGA.A7.A26G.01A.21R.A169.07	TCGA.AR.A24X.01A.11R.A169.07	TCGA.A8.A076.01A.21R.A00Z.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.A8.A09V.01A.11R.A034.07	TCGA.C8.A27B.01A.11R.A169.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.AR.A1AW.01A.21R.A12P.07	TCGA.BH.A1EX.01A.11R.A13Q.07	TCGA.D8.A1XG.01A.11R.A14D.07	TCGA.AO.A12A.01A.21R.A115.07	TCGA.AR.A0TR.01A.11R.A084.07	TCGA.A8.A07E.01A.11R.A034.07	TCGA.A2.A0CT.01A.31R.A056.07	TCGA.BH.A18U.01A.21R.A12D.07
glycerophospholipid catabolic process	0.0434806878984354	0.0427072116373853	0.0409245117785163	0.0469203857383867	0.0453734989152207	0.042670143085596	0.0461088934300374	0.0430476516501391	0.0420760576838257	0.0431171767232859	0.0413257968161921	0.0430784464008104	0.0429741658430586	0.0427020349693303	0.0434450743684365	0.0420911553367418	0.0430552741446436	0.0444326102249397	0.0409595903859965	0.0423109760183963	0.0426776679290365	0.0512025774716158	0.0444016017844715	0.0418516069522529	0.0487765443326552	0.0412130887704973	0.0457343313206166	0.0451193263211185	0.0450975695802001	0.0486468179475351	0.0536495945955294	0.0478373100419478	0.043254528440051	0.0376771135459449	0.0443192895319744	0.0433847565949277	0.047664268312715	0.0439866728261238	0.0490637137851772	0.0427763420217434
phospholipid metabolic process	0.00597527200983894	0.00571043261013038	0.00559080510536858	0.00578060639473044	0.00669407204705119	0.00621325514289617	0.00622231772419468	0.00599844732436861	0.00609442521906811	0.00666211658403248	0.00607516889215109	0.00725300077948265	0.00525141551287811	0.00614338584536267	0.00563500367565528	0.00575276913541256	0.00685079582964598	0.00577922369566752	0.00620287824134902	0.00592550050311702	0.00559285018040789	0.00554311434056576	0.00516554452698958	0.00560392008359667	0.00639205824433597	0.00506803227228303	0.00553809087613666	0.00624319979450005	0.00552619982741931	0.00533944177773948	0.00646141795598865	0.00539916882594305	0.0059788329200503	0.0049489786996032	0.00480023082147629	0.00562402544316376	0.00540365233159701	0.0055116372848909	0.00616609677993096	0.00621455983632957
multicellular organismal lipid catabolic process	0.00597527200983894	0.00571043261013038	0.00559080510536858	0.00578060639473044	0.00669407204705119	0.00621325514289617	0.00622231772419468	0.00599844732436861	0.00609442521906811	0.00666211658403248	0.00607516889215109	0.00725300077948265	0.00525141551287811	0.00614338584536267	0.00563500367565528	0.00575276913541256	0.00685079582964598	0.00577922369566752	0.00620287824134902	0.00592550050311702	0.00559285018040789	0.00554311434056576	0.00516554452698958	0.00560392008359667	0.00639205824433597	0.00506803227228303	0.00553809087613666	0.00624319979450005	0.00552619982741931	0.00533944177773948	0.00646141795598865	0.00539916882594305	0.0059788329200503	0.0049489786996032	0.00480023082147629	0.00562402544316376	0.00540365233159701	0.0055116372848909	0.00616609677993096	0.00621455983632957
phosphatidylcholine metabolic process	0.00597527200983894	0.00571043261013038	0.00559080510536858	0.00578060639473044	0.00669407204705119	0.00621325514289617	0.00622231772419468	0.00599844732436861	0.00609442521906811	0.00666211658403248	0.00607516889215109	0.00725300077948265	0.00525141551287811	0.00614338584536267	0.00563500367565528	0.00575276913541256	0.00685079582964598	0.00577922369566752	0.00620287824134902	0.00592550050311702	0.00559285018040789	0.00554311434056576	0.00516554452698958	0.00560392008359667	0.00639205824433597	0.00506803227228303	0.00553809087613666	0.00624319979450005	0.00552619982741931	0.00533944177773948	0.00646141795598865	0.00539916882594305	0.0059788329200503	0.0049489786996032	0.00480023082147629	0.00562402544316376	0.00540365233159701	0.0055116372848909	0.00616609677993096	0.00621455983632957
fatty acid biosynthetic process	0.00597527200983894	0.00571043261013038	0.00559080510536858	0.00578060639473044	0.00669407204705119	0.00621325514289617	0.00622231772419468	0.00599844732436861	0.00609442521906811	0.00666211658403248	0.00607516889215109	0.00725300077948265	0.00525141551287811	0.00614338584536267	0.00563500367565528	0.00575276913541256	0.00685079582964598	0.00577922369566752	0.00620287824134902	0.00592550050311702	0.00559285018040789	0.00554311434056576	0.00516554452698958	0.00560392008359667	0.00639205824433597	0.00506803227228303	0.00553809087613666	0.00624319979450005	0.00552619982741931	0.00533944177773948	0.00646141795598865	0.00539916882594305	0.0059788329200503	0.0049489786996032	0.00480023082147629	0.00562402544316376	0.00540365233159701	0.0055116372848909	0.00616609677993096	0.00621455983632957
innate immune response in mucosa	0.00597527200983894	0.00571043261013038	0.00559080510536858	0.00578060639473044	0.00669407204705119	0.00621325514289617	0.00622231772419468	0.00599844732436861	0.00609442521906811	0.00666211658403248	0.00607516889215109	0.00725300077948265	0.00525141551287811	0.00614338584536267	0.00563500367565528	0.00575276913541256	0.00685079582964598	0.00577922369566752	0.00620287824134902	0.00592550050311702	0.00559285018040789	0.00554311434056576	0.00516554452698958	0.00560392008359667	0.00639205824433597	0.00506803227228303	0.00553809087613666	0.00624319979450005	0.00552619982741931	0.00533944177773948	0.00646141795598865	0.00539916882594305	0.0059788329200503	0.0049489786996032	0.00480023082147629	0.00562402544316376	0.00540365233159701	0.0055116372848909	0.00616609677993096	0.00621455983632957
positive regulation of DNA replication	0.00597527200983894	0.00571043261013038	0.00559080510536858	0.00578060639473044	0.00669407204705119	0.00621325514289617	0.00622231772419468	0.00599844732436861	0.00609442521906811	0.00666211658403248	0.00607516889215109	0.00725300077948265	0.00525141551287811	0.00614338584536267	0.00563500367565528	0.00575276913541256	0.00685079582964598	0.00577922369566752	0.00620287824134902	0.00592550050311702	0.00559285018040789	0.00554311434056576	0.00516554452698958	0.00560392008359667	0.00639205824433597	0.00506803227228303	0.00553809087613666	0.00624319979450005	0.00552619982741931	0.00533944177773948	0.00646141795598865	0.00539916882594305	0.0059788329200503	0.0049489786996032	0.00480023082147629	0.00562402544316376	0.00540365233159701	0.0055116372848909	0.00616609677993096	0.00621455983632957
antibacterial humoral response	0.00597527200983894	0.00571043261013038	0.00559080510536858	0.00578060639473044	0.00669407204705119	0.00621325514289617	0.00622231772419468	0.00599844732436861	0.00609442521906811	0.00666211658403248	0.00607516889215109	0.00725300077948265	0.00525141551287811	0.00614338584536267	0.00563500367565528	0.00575276913541256	0.00685079582964598	0.00577922369566752	0.00620287824134902	0.00592550050311702	0.00559285018040789	0.00554311434056576	0.00516554452698958	0.00560392008359667	0.00639205824433597	0.00506803227228303	0.00553809087613666	0.00624319979450005	0.00552619982741931	0.00533944177773948	0.00646141795598865	0.00539916882594305	0.0059788329200503	0.0049489786996032	0.00480023082147629	0.00562402544316376	0.00540365233159701	0.0055116372848909	0.00616609677993096	0.00621455983632957
defense response to Gram-positive bacterium	0.00597527200983894	0.00571043261013038	0.00559080510536858	0.00578060639473044	0.00669407204705119	0.00621325514289617	0.00622231772419468	0.00599844732436861	0.00609442521906811	0.00666211658403248	0.00607516889215109	0.00725300077948265	0.00525141551287811	0.00614338584536267	0.00563500367565528	0.00575276913541256	0.00685079582964598	0.00577922369566752	0.00620287824134902	0.00592550050311702	0.00559285018040789	0.00554311434056576	0.00516554452698958	0.00560392008359667	0.00639205824433597	0.00506803227228303	0.00553809087613666	0.00624319979450005	0.00552619982741931	0.00533944177773948	0.00646141795598865	0.00539916882594305	0.0059788329200503	0.0049489786996032	0.00480023082147629	0.00562402544316376	0.00540365233159701	0.0055116372848909	0.00616609677993096	0.00621455983632957
phosphatidic acid metabolic process	0.00597527200983894	0.00571043261013038	0.00559080510536858	0.00578060639473044	0.00669407204705119	0.00621325514289617	0.00622231772419468	0.00599844732436861	0.00609442521906811	0.00666211658403248	0.00607516889215109	0.00725300077948265	0.00525141551287811	0.00614338584536267	0.00563500367565528	0.00575276913541256	0.00685079582964598	0.00577922369566752	0.00620287824134902	0.00592550050311702	0.00559285018040789	0.00554311434056576	0.00516554452698958	0.00560392008359667	0.00639205824433597	0.00506803227228303	0.00553809087613666	0.00624319979450005	0.00552619982741931	0.00533944177773948	0.00646141795598865	0.00539916882594305	0.0059788329200503	0.0049489786996032	0.00480023082147629	0.00562402544316376	0.00540365233159701	0.0055116372848909	0.00616609677993096	0.00621455983632957
