path/term	UP/DOWN	correlation	p.value	FDRp.value
Ras signaling pathway: ABL1	DOWN	-0.476566780189673	0.00187852471112762	0.00187852471112762
Ras signaling pathway: MLLT4	DOWN	-0.469899792654758	0.00221834597560878	0.00221834597560878
Ras signaling pathway: NFKB1	DOWN	-0.466449410455101	0.00241457765087629	0.00241457765087629
Ras signaling pathway: RAB5A	DOWN	-0.406883129706737	0.00917221391616191	0.00917221391616191
Ras signaling pathway: PLD1	DOWN	-0.384691494558826	0.0142461520513189	0.0142461520513189
Ras signaling pathway: C01245	DOWN	-0.383923461518681	0.0144575462600352	0.0144575462600352
Ras signaling pathway: PRKCA	DOWN	-0.381569152368561	0.0151221619853886	0.0151221619853886
MAPK signaling pathway: JUND	UP	0.381090661753812	0.0152603488987304	0.0152603488987304
Ras signaling pathway: STK4 STK4	DOWN	-0.375054960885888	0.0170970679755164	0.0170970679755164
MAPK signaling pathway: JUN	UP	0.370970735672463	0.0184427417160127	0.0184427417160127
Ras signaling pathway: RAPGEF5	DOWN	-0.363418697649986	0.0211656445262656	0.0211656445262656
Ras signaling pathway: RAC1	DOWN	-0.348662592932008	0.0274599297058504	0.0274599297058504
Ras signaling pathway: PIK3R5	DOWN	-0.346079944841325	0.0287067986866169	0.0287067986866169
Ras signaling pathway: RAC1	DOWN	-0.339081646592048	0.0323224404244541	0.0323224404244541
Ras signaling pathway: MLLT4	DOWN	-0.318018081562968	0.0455221249568352	0.0455221249568352
Ras signaling pathway: ETS1	DOWN	-0.314070253555077	0.0484243954548373	0.0484243954548373
Rap1 signaling pathway: THBS1	UP	0.311407928012161	0.0504644932067804	0.0504644932067804
Ras signaling pathway: MAPK8	DOWN	-0.297227661455197	0.0625235512362518	0.0625235512362518
MAPK signaling pathway: NR4A1	DOWN	-0.281837979247851	0.0780880608929938	0.0780880608929938
Ras signaling pathway: KSR2	DOWN	-0.280500930239952	0.0795716735331123	0.0795716735331123
MAPK signaling pathway: ECSIT TRAF6	DOWN	-0.275214195813984	0.0856543475690769	0.0856543475690769
Ras signaling pathway: ELK1	DOWN	-0.269104761634617	0.0931260804030786	0.0931260804030786
Ras signaling pathway: RHOA	DOWN	-0.268191163279946	0.0942852529758703	0.0942852529758703
MAPK signaling pathway: MAPT	UP	0.261236982475293	0.103475956753635	0.103475956753635
Ras signaling pathway: RIN1	DOWN	-0.25516836194016	0.112041350062125	0.112041350062125
Ras signaling pathway: PLCE1	DOWN	-0.250210278890595	0.119429122218879	0.119429122218879
Ras signaling pathway: PLA2G4B	DOWN	-0.240882177803146	0.134312592762952	0.134312592762952
Rap1 signaling pathway: ITGA2B	DOWN	-0.222647734173911	0.167309664994852	0.167309664994852
MAPK signaling pathway: MAP3K2	DOWN	-0.22008914941464	0.172370179809473	0.172370179809473
Rap1 signaling pathway: C00076	DOWN	-0.188839760932058	0.243213792005974	0.243213792005974
MAPK signaling pathway: STK3	DOWN	-0.187697333932841	0.246129132157909	0.246129132157909
Ras signaling pathway: RAP1A	DOWN	-0.186760871960312	0.248536339431381	0.248536339431381
Rap1 signaling pathway: PLCE1	DOWN	-0.186112061755911	0.250213366278362	0.250213366278362
MAPK signaling pathway: MEF2C	DOWN	-0.185997843426248	0.250509378013683	0.250509378013683
Ras signaling pathway: PAK4	DOWN	-0.177217532389171	0.273968970081217	0.273968970081217
Rap1 signaling pathway: ACTB	DOWN	-0.160341942275063	0.322982010710029	0.322982010710029
MAPK signaling pathway: NFATC3	DOWN	-0.160172224184069	0.323501185412836	0.323501185412836
Ras signaling pathway: REL	DOWN	-0.16007312205697	0.323804584212871	0.323804584212871
Ras signaling pathway: RASSF5	DOWN	-0.151247618635023	0.351535197669214	0.351535197669214
MAPK signaling pathway: FOS	DOWN	-0.137273710747986	0.398292901702422	0.398292901702422
Rap1 signaling pathway: ITGAL	DOWN	-0.135139336152446	0.405737720315911	0.405737720315911
MAPK signaling pathway: NFATC1	DOWN	-0.133110809823668	0.412886710385755	0.412886710385755
Rap1 signaling pathway: MAPK1	UP	0.131419100772111	0.418903066969086	0.418903066969086
MAPK signaling pathway: STMN1	UP	0.129791926142595	0.424736337063808	0.424736337063808
MAPK signaling pathway: CDC25B	DOWN	-0.114847540223786	0.480395213406416	0.480395213406416
Rap1 signaling pathway: CDH1	UP	0.112816671888981	0.488242122742873	0.488242122742873
Rap1 signaling pathway: MAPK14	DOWN	-0.105525115995311	0.516952972943366	0.516952972943366
MAPK signaling pathway: ATF4	DOWN	-0.0996707480861138	0.540596752960837	0.540596752960837
Ras signaling pathway: RALBP1	DOWN	-0.0949255323781858	0.560133965344	0.560133965344
Rap1 signaling pathway: AKT3	DOWN	-0.0935657841337427	0.565792282276777	0.565792282276777
Ras signaling pathway: RALGDS	DOWN	-0.0875789832642271	0.591013165687498	0.591013165687498
Rap1 signaling pathway: RALA	DOWN	-0.0849027276485167	0.602445653045627	0.602445653045627
MAPK signaling pathway: MAP3K4	DOWN	-0.0815017633169369	0.617110142340458	0.617110142340458
MAPK signaling pathway: NLK	UP	0.0772101283172514	0.635825762890729	0.635825762890729
MAPK signaling pathway: DDIT3	DOWN	-0.0682161955944138	0.675768691949811	0.675768691949811
Rap1 signaling pathway: PRKCI PARD6A PARD3	UP	0.0641619075088084	0.694073184297517	0.694073184297517
Ras signaling pathway: BCL2L1	DOWN	-0.0610776775915039	0.708114331379941	0.708114331379941
MAPK signaling pathway: ELK1	UP	0.0608256344563022	0.709266069275471	0.709266069275471
Ras signaling pathway: TIAM1	UP	0.0591423202833507	0.71697440401635	0.71697440401635
MAPK signaling pathway: NFKB1	DOWN	-0.0557661926730887	0.732517577807122	0.732517577807122
MAPK signaling pathway: ELK4	DOWN	-0.051573578096109	0.751966685663191	0.751966685663191
Ras signaling pathway: RAF1	DOWN	-0.048950801316979	0.764211676790038	0.764211676790038
MAPK signaling pathway: MYC	UP	0.0482214981063349	0.767626807658722	0.767626807658722
MAPK signaling pathway: MAX	DOWN	-0.0470496954422196	0.773123100424784	0.773123100424784
Rap1 signaling pathway: GNAI1	DOWN	-0.0433681538824344	0.7904612501635	0.7904612501635
Ras signaling pathway: BRAP	DOWN	-0.0360824370141575	0.825060627820173	0.825060627820173
Rap1 signaling pathway: RAC1	UP	0.0332820050209286	0.838450806223492	0.838450806223492
MAPK signaling pathway: HSPB1	DOWN	-0.0263901475464512	0.87158826894945	0.87158826894945
MAPK signaling pathway: PLA2G4B	UP	0.0256926324246885	0.874955129850114	0.874955129850114
MAPK signaling pathway: TP53	UP	0.0253135230556014	0.8767859822495	0.8767859822495
MAPK signaling pathway: ATF4	DOWN	-0.0209551213339441	0.897877370962168	0.897877370962168
Ras signaling pathway: FASLG	DOWN	-0.0139419464379947	0.931955644952109	0.931955644952109
MAPK signaling pathway: ATF2	DOWN	-0.00548026083071895	0.973226942972088	0.973226942972088
MAPK signaling pathway: MAP4K2	UP	0.00439597109999549	0.978522710849436	0.978522710849436
