path/term	UP/DOWN	correlation	p.value	FDRp.value
Endocytosis	DOWN	-0.375455706938631	0.0169696029879469	0.0169696029879469
Immunity	DOWN	-0.368008753259297	0.0194733730292741	0.0194733730292741
Autophagy	DOWN	-0.362544553877608	0.0215014714654716	0.0215014714654716
Angiogenesis	DOWN	-0.362323805055418	0.0215869788380711	0.0215869788380711
Adaptive immunity	DOWN	-0.362323805055418	0.0215869788380711	0.0215869788380711
Protein transport	DOWN	-0.3611966656521	0.0220280185246831	0.0220280185246831
Innate immunity	DOWN	-0.356384707211516	0.0239964006273895	0.0239964006273895
Chemotaxis	DOWN	-0.348402498659336	0.0275834336368632	0.0275834336368632
Inflammatory response	DOWN	-0.344648492771151	0.0294177998087676	0.0294177998087676
Stress response	DOWN	-0.332150952275351	0.0362641159953865	0.0362641159953865
Differentiation	DOWN	-0.32966329378064	0.0377713995294389	0.0377713995294389
Transport	DOWN	-0.311534990454092	0.0503655817825683	0.0503655817825683
Unfolded protein response	UP	0.307654089490138	0.0534578355242714	0.0534578355242714
Host-virus interaction	DOWN	-0.292176333884228	0.0673340008740817	0.0673340008740817
Osteogenesis	DOWN	-0.275214195813985	0.0856543475690764	0.0856543475690764
Lipid degradation	DOWN	-0.243624656389948	0.129800900997626	0.129800900997626
Lipid metabolism	DOWN	-0.243624656389948	0.129800900997626	0.129800900997626
Cilium biogenesis/degradation	DOWN	-0.240882177803143	0.134312592762957	0.134312592762957
Ubl conjugation pathway	DOWN	-0.23265324966016	0.148548121132066	0.148548121132066
Cell adhesion	DOWN	-0.199895996948969	0.216201714571059	0.216201714571059
Apoptosis	DOWN	-0.187455378371799	0.246749578667549	0.246749578667549
Growth regulation	DOWN	-0.177217532389169	0.27396897008122	0.27396897008122
Neurogenesis	DOWN	-0.168260139618229	0.299340698801919	0.299340698801919
Biological rhythms	DOWN	-0.155654204143186	0.337513597082394	0.337513597082394
DNA repair	DOWN	-0.146665384978424	0.366485336911387	0.366485336911387
DNA damage	DOWN	-0.140251542060659	0.388039158386286	0.388039158386286
Transcription regulation	DOWN	-0.12701986169461	0.434778088696776	0.434778088696776
Transcription	DOWN	-0.12701986169461	0.434778088696776	0.434778088696776
Exocytosis	DOWN	-0.121596710326972	0.454798701667639	0.454798701667639
Glycogen biosynthesis	DOWN	-0.0935657841337424	0.565792282276778	0.565792282276778
Glycogen metabolism	DOWN	-0.0935657841337424	0.565792282276778	0.565792282276778
Glucose metabolism	DOWN	-0.0935657841337424	0.565792282276778	0.565792282276778
Sugar transport	DOWN	-0.0935657841337424	0.565792282276778	0.565792282276778
Carbohydrate metabolism	DOWN	-0.0935657841337424	0.565792282276778	0.565792282276778
Translation regulation	DOWN	-0.0935657841337424	0.565792282276778	0.565792282276778
Cell division	DOWN	-0.0693329442960141	0.67075835811535	0.67075835811535
Growth arrest	DOWN	-0.068216195594416	0.675768691949802	0.675768691949802
Cell cycle	DOWN	-0.0561608496884358	0.730695054132702	0.730695054132702
Wnt signaling pathway	UP	0.0447849266009559	0.783776700014866	0.783776700014866
Necrosis	UP	0.0253135230555974	0.87678598224952	0.87678598224952
Mitosis	UP	0.021107412910447	0.897139139775042	0.897139139775042
