TCGA.BH.A1FM.11B.23R.A13Q.07	TCGA.E2.A1LB.11A.22R.A144.07	TCGA.BH.A208.11A.51R.A157.07	TCGA.BH.A18K.11A.13R.A12D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E9.A1NG.11A.52R.A14M.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A18J.11A.31R.A12D.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.BH.A18S.11A.43R.A12D.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.BH.A0HA.11A.31R.A12P.07	TCGA.BH.A18R.11A.42R.A12D.07	TCGA.E2.A158.11A.22R.A12D.07	TCGA.BH.A0BQ.11A.33R.A115.07	TCGA.BH.A0DH.11A.31R.A089.07	TCGA.BH.A1F2.11A.32R.A13Q.07	TCGA.B6.A0WY.01A.11R.A109.07	TCGA.AN.A0G0.01A.11R.A034.07	TCGA.E2.A1IL.01A.11R.A14D.07	TCGA.BH.A0HX.01A.21R.A056.07	TCGA.A7.A26G.01A.21R.A169.07	TCGA.AR.A24X.01A.11R.A169.07	TCGA.A8.A076.01A.21R.A00Z.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.A8.A09V.01A.11R.A034.07	TCGA.C8.A27B.01A.11R.A169.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.AR.A1AW.01A.21R.A12P.07	TCGA.BH.A1EX.01A.11R.A13Q.07	TCGA.D8.A1XG.01A.11R.A14D.07	TCGA.AO.A12A.01A.21R.A115.07	TCGA.AR.A0TR.01A.11R.A084.07	TCGA.A8.A07E.01A.11R.A034.07	TCGA.A2.A0CT.01A.31R.A056.07	TCGA.BH.A18U.01A.21R.A12D.07
Lipid degradation	0.517590591909129	0.483260569278151	0.490977250162437	0.516863085321359	0.517740421539587	0.527337788966222	0.523910965142403	0.524234181184825	0.532391366321076	0.523204576781545	0.514422816781698	0.534150525337675	0.502934796661386	0.508632968248458	0.501846684976071	0.522170603380066	0.540456572929424	0.525520964271397	0.493465403248245	0.509547281179536	0.482591426158631	0.537850160869502	0.472434878057674	0.518166529261843	0.504297272571316	0.49947443967582	0.510725671703241	0.530268826728043	0.464445318315417	0.468342005246463	0.491768731084449	0.454366796656137	0.464598283428622	0.467714484498247	0.527834139931541	0.521964441035767	0.4554803313305	0.547317150281303	0.492443704311167	0.509973723189533
Lipid metabolism	0.517590591909129	0.483260569278151	0.490977250162437	0.516863085321359	0.517740421539587	0.527337788966222	0.523910965142403	0.524234181184825	0.532391366321076	0.523204576781545	0.514422816781698	0.534150525337675	0.502934796661386	0.508632968248458	0.501846684976071	0.522170603380066	0.540456572929424	0.525520964271397	0.493465403248245	0.509547281179536	0.482591426158631	0.537850160869502	0.472434878057674	0.518166529261843	0.504297272571316	0.49947443967582	0.510725671703241	0.530268826728043	0.464445318315417	0.468342005246463	0.491768731084449	0.454366796656137	0.464598283428622	0.467714484498247	0.527834139931541	0.521964441035767	0.4554803313305	0.547317150281303	0.492443704311167	0.509973723189533
Cilium biogenesis/degradation	0.00597527200983894	0.00571043261013038	0.00559080510536858	0.00578060639473044	0.00669407204705119	0.00621325514289617	0.00622231772419468	0.00599844732436861	0.00609442521906811	0.00666211658403248	0.00607516889215109	0.00725300077948265	0.00525141551287811	0.00614338584536267	0.00563500367565528	0.00575276913541256	0.00685079582964598	0.00577922369566752	0.00620287824134902	0.00592550050311702	0.00559285018040789	0.00554311434056576	0.00516554452698958	0.00560392008359667	0.00639205824433597	0.00506803227228303	0.00553809087613666	0.00624319979450005	0.00552619982741931	0.00533944177773948	0.00646141795598865	0.00539916882594305	0.0059788329200503	0.0049489786996032	0.00480023082147629	0.00562402544316376	0.00540365233159701	0.0055116372848909	0.00616609677993096	0.00621455983632957
Chemotaxis	0.426800070053142	0.446445336030379	0.43205012797278	0.445655519379502	0.435060970597423	0.435225135665322	0.435341800510521	0.444359235646867	0.441170196989556	0.453195807371458	0.461118854333777	0.437629246619806	0.430521512935034	0.4415569108461	0.436972174081892	0.431657343459183	0.428131360853056	0.451525697813539	0.439813979045066	0.435983563306053	0.452557366373751	0.416342530233258	0.444939239902017	0.416062337164245	0.44768210741714	0.421162826068133	0.441639413729637	0.419722769390566	0.425399660909616	0.416033852214629	0.482722936591264	0.41161917293779	0.445253346533731	0.447005657187036	0.398736443010628	0.43602888088671	0.401146639091261	0.445008970873238	0.411433115772474	0.412266320946496
Transcription regulation	0.897300621623103	0.89184633547226	0.895513117039682	0.893494451777407	0.89733794996113	0.896680183409343	0.891804085644135	0.898004699226065	0.894702471054088	0.895505388304665	0.899105877643662	0.900778128204758	0.895076567232651	0.89300212275488	0.892759437008277	0.894943654350076	0.887684329891217	0.899758781898022	0.895162037146716	0.896751399352092	0.893629188449683	0.892201654857895	0.882216968286179	0.882259063856968	0.898221010316763	0.885773692559416	0.880155408222038	0.892076802576453	0.880452886295733	0.884679628449228	0.901435129212714	0.890278900781726	0.907604928157471	0.887312520155964	0.88847382055212	0.896146957252903	0.884423795183556	0.894922727938057	0.875681084856005	0.878740654675628
Transcription	0.897300621623103	0.89184633547226	0.895513117039682	0.893494451777407	0.89733794996113	0.896680183409343	0.891804085644135	0.898004699226065	0.894702471054088	0.895505388304665	0.899105877643662	0.900778128204758	0.895076567232651	0.89300212275488	0.892759437008277	0.894943654350076	0.887684329891217	0.899758781898022	0.895162037146716	0.896751399352092	0.893629188449683	0.892201654857895	0.882216968286179	0.882259063856968	0.898221010316763	0.885773692559416	0.880155408222038	0.892076802576453	0.880452886295733	0.884679628449228	0.901435129212714	0.890278900781726	0.907604928157471	0.887312520155964	0.88847382055212	0.896146957252903	0.884423795183556	0.894922727938057	0.875681084856005	0.878740654675628
Immunity	0.575045909360574	0.573133226706717	0.578653325705122	0.580995666279333	0.572443576193749	0.573121433638143	0.575678210012396	0.589326980902176	0.594804981330052	0.580076002926096	0.608413314745074	0.590322819057212	0.556802074191015	0.58904095682474	0.556553509220127	0.58419743369502	0.569679770054275	0.586225731780403	0.586988765764632	0.579294738729666	0.583463199510207	0.550248223036399	0.568559264654848	0.537694064352191	0.58581500352479	0.565601354700767	0.574537051577543	0.567245896738774	0.556252605433624	0.558707566687388	0.635510537607584	0.562448988005784	0.576123629421801	0.582059214478299	0.54689265370397	0.569084436354311	0.521176521676114	0.593202216915253	0.557307341651036	0.55653475512243
Apoptosis	0.895930288269624	0.882191492325351	0.89435393665275	0.889326315003032	0.888859632654221	0.891472577068801	0.888971887338103	0.89842926403914	0.888870539010063	0.893507587302644	0.903008205070136	0.894009671076742	0.89029333031361	0.893209202476849	0.885871652871751	0.893486180119357	0.8800723969761	0.896540173821155	0.895240995446919	0.894916538197495	0.885393362099565	0.882633854045695	0.8857464747362	0.881091067394633	0.900786053926006	0.884556149599008	0.889499386803407	0.896880612125603	0.885811037897924	0.889793707710517	0.90706589718745	0.894157151241872	0.914175836681618	0.900264904785721	0.880312007420926	0.892645245954656	0.877146434745413	0.8936603371781	0.874229391900774	0.883669991632142
Exocytosis	0.325258920172653	0.322135221932887	0.326757502019179	0.317043187134462	0.319870607705891	0.338893257429014	0.321107514836522	0.325694350862486	0.31897715693728	0.327277836011625	0.341231501906409	0.325190656227101	0.318580815018105	0.330556567208883	0.329728351683363	0.323062223007937	0.317359349557728	0.336391686930063	0.330287997478113	0.327787277901343	0.323532768557801	0.304402051824925	0.312456955526075	0.317801731758758	0.333668229013943	0.326295662156639	0.313886300003942	0.348654146323815	0.32714028388429	0.327867801276927	0.318714564655842	0.321144470289753	0.325956163996762	0.325887170816795	0.322662408255921	0.327719731339649	0.325865929221771	0.333804494706055	0.30739800844853	0.320137118316468
Host-virus interaction	0.807534587076804	0.807299354998979	0.808804670865978	0.808091072156598	0.810183693341153	0.816281727751966	0.810881711389486	0.816771636470937	0.807410523216995	0.822527066278973	0.827520246053676	0.817831740792353	0.803045686676286	0.814510972512235	0.809064234833248	0.804963956938496	0.805799494162398	0.820137142658949	0.810575322735217	0.811478973557959	0.809214741788107	0.792221507162014	0.806299854701974	0.799151565072473	0.811150057124931	0.797827830648872	0.804275728682966	0.813847939780589	0.802026801594196	0.803372860120869	0.829095181915129	0.803470309438069	0.821202864217512	0.809724355454471	0.789817866365327	0.811924614733325	0.792017829718737	0.809837580825391	0.785632332466606	0.79493352578663
